id,hist-today,img_url,img_credits
fontaine_1954,today,https://www.publics-arts.ch/s/oedk/media/7360,"Christopher Kilchenmann, 2023"
fontaine_1954,today,https://www.publics-arts.ch/files/large/a17b1a284cca6a988210a5d44786263c065a2e59.jpg,"Christopher Kilchenmann, 2023"
nostalgie-kuh_1974,today,https://www.publics-arts.ch/files/large/6beee134bc0e09fc8b3ae3b060df3032167c9aac.jpg,"EinDao, 2019 (via Wikimedia Commons, CC BY-SA 4.0)"
nostalgie-kuh_1974,hist,https://www.publics-arts.ch/files/large/65c2e44200b976a3e319cb6f8c7687b7c492a5cb.jpg,"Renate Hügli Roth, 1975"
nostalgie-kuh_1974,hist,https://www.publics-arts.ch/files/large/5ef9dee2a8c3905250f8650c25c2976b84c84101.jpg,"Inconnu / Unbekannt, 1975, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
maternite_1950,today,https://www.publics-arts.ch/files/large/0f9af4aacf789badca4f996692dfe5b154672f0b.jpg,"Christopher Kilchenmann, 2023"
maternite_1950,hist,https://www.publics-arts.ch/files/large/9f8192e3e3cb1e7c9d9220a074af2ac248c65b5a.jpg,"Archives municipales Bienne / Stadtarchiv Biel, Collection de photographies de la police / Polizeifotosammlung, N_701-2-5, 1954"
maternite_1950,today,https://www.publics-arts.ch/files/large/67c73bd8f204341ff378956f0f5b2db9024a3e08.jpg,"Christopher Kilchenmann, 2023"
maternite_1950,today,https://www.publics-arts.ch/files/large/70cd93899fb16aba83d576e5bbc2da95784e2dcc.jpg,"Christopher Kilchenmann, 2023"
betonstelen_1974,today,https://www.publics-arts.ch/files/large/4da4dfd81fce1259de24bc8ab76447f41cc1de7a.jpg,"WillYs Fotowerkstatt, 2011 (via Wikimedia Commons, CC BY 3.0)"
betonstelen_1974,hist,https://www.publics-arts.ch/files/large/cb9caf5dd41cbc907fdec6df45d6c92cf99de846.jpg,"Source / Quelle: Kunstnachrichten, 1975"
betonstelen_1974,today,https://www.publics-arts.ch/files/large/f64b17e53e614befbe7deca2a15f792b79a71c14.jpg,"Tobikuehn, 2014 ( via Wikimedia Commons, CC BY-SA 3.0)"
betonstelen_1974,hist,https://www.publics-arts.ch/files/large/b581b7713852e4999b4a3108d61f96b49180785c.jpg,"Inconnu / Unbekannt, 1975, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
betonstelen_1974,hist,https://www.publics-arts.ch/files/large/0c043b65e5742d482b85b3677fd6fd672ebfc1cc.jpg,"Inconnu / Unbekannt, 1975, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
betonstelen_1974,hist,https://www.publics-arts.ch/files/large/67d3cc5e7f806742d0bc537defe5b588318b04fd.jpg,"Inconnu / Unbekannt, 1975, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
untitled-a-paul-cezanne_2000,today,https://www.publics-arts.ch/files/large/f72afd9cdbf43df4b807fdd54a7b4cf94e038e78.jpg,"Christopher Kilchenmann, 2023"
untitled-a-paul-cezanne_2000,hist,https://www.publics-arts.ch/files/large/ae7e16060fa8d73db72a5894946514eb39dd40cc.jpg,"Claude Joray, 2000"
untitled-a-paul-cezanne_2000,today,https://www.publics-arts.ch/files/large/a0c4bb186cd5b16a639aaa952139c6c499420549.jpg,"Christopher Kilchenmann, 2023"
trojanisches-pferd_1977,today,https://www.publics-arts.ch/files/large/061fff79f2a9edbe706c93f567a835853b46a23a.jpg,"Unschoen, 2022 (via Wikimedia Commons, CC BY-SA 4.0)"
trojanisches-pferd_1977,hist,https://www.publics-arts.ch/files/large/8670cd1bf9a758fc282b17f67020aaca85a2c66f.jpg,"Jeanne Chevalier, 1980"
trojanisches-pferd_1977,hist,https://www.publics-arts.ch/files/large/bf205702b1b92b784192e6dea12590244e8b9ea3.jpg,"Inconnu / Unbekannt, 1980, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
wasserrohr_1970,today,https://www.publics-arts.ch/files/large/1b95e623cb7e248ca1336839db0f776b1760aa62.jpg,"Christopher Kilchenmann, 2023"
wasserrohr_1970,hist,https://www.publics-arts.ch/files/large/8339f9eb3652761d0605ff7a872bfde0eaa64ecf.jpg,"Inconnu / Unbekannt, 1970, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
wasserrohr_1970,today,https://www.publics-arts.ch/files/large/50fe75872e12389609aabbea4aad306d58155c59.jpg,"Christopher Kilchenmann, 2023"
wasserrohr_1970,today,https://www.publics-arts.ch/files/large/b8574d1cab5a7dbbd651a3f538fc8e247d9ac291.jpg,"Christopher Kilchenmann, 2023"
findling_1970,today,https://www.danielspoerri.org/giardino/wp-content/uploads/2019/04/artist-work_herbert-distel_76-1400x830.jpg,© Fondazione Daniel Spoerri
findling_1970,hist,https://www.publics-arts.ch/files/large/43b82cf0ff0367932d310f64cc6f7325448fba6a.jpg,"© Herbert Distel, 1970"
projekt-zeitraum_1979,today,https://www.publics-arts.ch/files/large/183ccf0975b9362fe6043bfbd90d0bde9f6b4ba6.jpg,"Yvonne Schweizer, 2023"
projekt-zeitraum_1979,hist,https://www.publics-arts.ch/files/large/678ff7c4d9bca7920a2b82b58b50be45922f9d81.jpg,"Jeanne Chevalier, 1980"
projekt-zeitraum_1979,today,https://www.publics-arts.ch/files/large/2f5211d0681b47ffba424899d1c5acf55e361b1a.jpg,"Yvonne Schweizer, 2023"
projekt-zeitraum_1979,today,https://www.publics-arts.ch/files/large/3a4ab37e7714f15d431281f922b6136e3b6616df.jpg,"Yvonne Schweizer, 2023"
vertschaupet_1980,today,https://www.publics-arts.ch/files/large/c7b8c72637b913befa2660511b433f35d1f1b022.jpg,"Yvonne Schweizer, 2023"
vertschaupet_1980,hist,https://www.publics-arts.ch/files/large/90a2ff5e3abffdd794c86324a9edb36c369c8fb7.jpg,"Jeanne Chevalier, 1980"
vertschaupet_1980,today,https://www.publics-arts.ch/files/large/f39ce63915ff432a22dcb705a0ec731c0a818683.jpg,"Yvonne Schweizer, 2023"
e-1_1963,today,https://www.publics-arts.ch/files/large/c2ec93c5e2c3121df40968eee8ad3d33de2fb41c.jpg,"Christopher Kilchenmann, 2023"
e-1_1963,hist,https://www.publics-arts.ch/files/large/5664da979a432a868c18a2288deb06473d8d91a1.jpg,"Inconnu / Unbekannt, 1970, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
e-1_1963,today,https://www.publics-arts.ch/files/large/b7e8b36060acbe16bad4d202d599455e7e8e14c0.jpg,"Christopher Kilchenmann, 2023"
