artist,title,id,year,expo,hist-today,img_url,img_credits,place_today,lat_today,lon_today,place_hist,lat_hist,lon_hist
Jürg Altherr,EQUI-LIBRE – Stahlkonstruktion XIIX,equi-libre-–-stahlkonstruktion-xiix_1979,1979–80,"ESS-SPA 7, 1980",today,https://www.publics-arts.ch/files/original/23865160d6a16f491e79a068ef6f68c2b3ef7ddf.jpeg,"Christopher Kilchenmann, 2023","Prairie derrière le Gymnase Bienne-Seeland / Wiese hinter dem Gymnasium Biel-Seeland, rue du Débarcadère / Ländtestrasse 10, 2503 Bienne / Biel",47.13376,7.23467,"Prés-de-la-Rive, devant le Gymnase / Strandboden, vor dem Gymnasium, 2503 Bienne / Biel",47.13376,7.23467
,,equi-libre-–-stahlkonstruktion-xiix_1979,1979–80,,hist,https://www.publics-arts.ch/files/original/3b23ad64930e2a2c159f5b439f52f3654a497525.jpeg,"Jeanne Chevalier, 1980",,,,,47.13376,7.23467
,,equi-libre-–-stahlkonstruktion-xiix_1979,1979–80,,today,https://www.publics-arts.ch/files/original/f2acd912fae54636e3f0b9a0696cc06271ddfc38.jpeg,"Christopher Kilchenmann, 2023",,,,,,
,,equi-libre-–-stahlkonstruktion-xiix_1979,1979–80,,hist,https://www.publics-arts.ch/files/original/3b14d081a829bb24c28355b8a853b99526e49ce6.jpeg,"Inconnu / Unbekannt, 1980, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel",,,,,,
,,equi-libre-–-stahlkonstruktion-xiix_1979,1979–80,,today,https://www.publics-arts.ch/files/original/3a34164451229bf93059515414d731341ea29da7.jpeg,"Christopher Kilchenmann, 2023",,,,,,
Mariann Grunder,Skulptur I,skulptur-i_1965,1965–66,"ESS-SPA 4, 1966",today,https://www.publics-arts.ch/files/original/d2fdd6d645a074f37b9a46a410510d397dd0b412.jpeg,"Christopher Kilchenmann, 2023","École du Battenberg / Schulhaus Battenberg, chemin de la Pierre-aux-Sarrasins / Heidensteinweg 21, 2504 Bienne / Biel",47.141502,7.278524,"Parc du Palais des Congrès / Park des Kongresshauses, 2502 Bienne / Biel",47.134798,7.2471
,,skulptur-i_1965,1965–66,,hist,https://www.publics-arts.ch/files/original/97bd899709a394a82121c0e32363278c479e9df1.jpeg,"Inconnu / Unbekannt, 1966, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel",,,,,47.134798,7.2471
Zoltán Kemény,Mécanisme de la Conception,mecanisme-de-la-conception_1964,1964,"ESS-SPA 4, 1966",today,https://www.publics-arts.ch/files/original/3e16e3291ef7ba9339e8f0856c7be23ffdf6d6e0.jpeg,"Christopher Kilchenmann, 2023","Dans le Palais des Congrès / Im Kongresshaus, rue Centrale / Zentralstrasse 60, 2501 Bienne / Biel",47.134964416889126,7.247968656952202,"Dans le Palais des Congrès / Im Kongresshaus, rue Centrale / Zentralstrasse 60, 2502 Bienne / Biel",47.134964416889126,7.247968656952202
,,mecanisme-de-la-conception_1964,1964,,hist,https://www.publics-arts.ch/files/original/e7e93f8fb0b7aacbec1923274c30a9d020396e14.jpg,"Inconnu / Unbekannt, 1966, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel",,,,,47.134964416889126,7.247968656952202
,,mecanisme-de-la-conception_1964,1964,,today,https://www.publics-arts.ch/files/original/f77865e8b5d35783bb63f3b121fcaf4d5277b938.jpeg,"Christopher Kilchenmann, 2023",,,,,,
,,mecanisme-de-la-conception_1964,1964,,today,https://www.publics-arts.ch/files/original/bfdff48605f2fe138e7d9819b54cc229ecd6ae00.jpeg,"Christopher Kilchenmann, 2023",,,,,,
Bernhard Luginbühl,Rex,rex_1965,1965,"ESS-SPA 4, 1966",today,https://www.publics-arts.ch/files/original/b3a90ee701f898a648cc08e207ad2c10de6211b9.jpg,Bundesamt für Kultur BAK (CC BY NC-ND 3.0),"Istituto Svizzero, Via Ludovisi 48, Rome / Rom, Italie / Italien",41.9063614496824,12.487614629032993,"Devant le Palais de Congrès / Vor dem Kongresshaus, rue Centrale / Zentralstrasse 60, 2501 Bienne / Biel",47.135144,7.248501
,,rex_1965,1965,,hist,https://www.publics-arts.ch/files/original/5f19ecb2cc8272bc92778f8c2683b0d7032c5f34.jpeg,"Inconnu / Unbekannt, 1966, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel",,,,,47.135144,7.248501
